,id,name,city,cuisine,rating
6387,6387,Tan Lido,Paris,vietnamese,4.0
6389,6389,La Chaumiere en l'Ile,Paris,"french, european",3.5
6390,6390,Chez Aline,Paris,"french, european",4.0
6391,6391,Brasserie Relais Madeleine 9 rue chevallier saint george,Paris,"french, bar, european",3.5
6393,6393,Naoko Biot,Paris,japanese,3.5
6394,6394,Les Frenchy's,Paris,american,4.5
6395,6395,O'Breizh,Paris,"french, contemporary, healthy, seafood, vegan options",4.0
6396,6396,Les 3 Garcons,Paris,"french, european",3.5
6397,6397,Le Rouge et le Verre,Paris,wine bar,3.5
6398,6398,Chez Kelly,Paris,"french, european",3.5
6399,6399,Le Tambour D'arcole,Paris,"french, bar, european",3.5
6400,6400,Bert's,Paris,"french, cafe",4.0
6401,6401,La P'tite Charonne,Paris,"french, bar",4.0
6402,6402,Cafe Canaille,Paris,"french, bar, cafe, european",4.0
6403,6403,Yoshida,Paris,japanese,4.5
6405,6405,Le Pavillon,Paris,"french, european",4.0
6406,6406,KAZ BAR,Paris,"french, brew pub, diner, wine bar, steakhouse",4.5
6407,6407,Le Bar Du Caveau,Paris,"french, european",3.5
6408,6408,Mugler Follies,Paris,"french, gastropub",4.5
6409,6409,Little Barcelona,Paris,"spanish, european",4.0
6410,6410,Tasska,Paris,"lebanese, mediterranean",5.0
6413,6413,Le Florentin,Paris,"french, european, vegetarian friendly",3.5
6414,6414,Nikko,Paris,japanese,4.0
6416,6416,Le Monte Carlo,Paris,"french, bar, pub, wine bar, gastropub",4.0
6417,6417,Cafe Drouot,Paris,french,4.0
6418,6418,Le Rouergue,Paris,french,3.5
6419,6419,Les Byzantins,Paris,greek,4.5
6420,6420,Restaurant Pacha,Paris,greek,5.0
6421,6421,Saint Cirgues,Paris,"french, european",4.0
6422,6422,Bar De La Place Edith Piaf,Paris,french,4.5
